step,agent_id,input_tokens,output_tokens,total_errors,connection_errors,openai_errors,timeout_errors,other_errors
0,12,4343,577,0,0,0,0,0
0,2,4421,812,0,0,0,0,0
0,3,4424,769,0,0,0,0,0
0,17,4212,593,0,0,0,0,0
0,16,4211,620,0,0,0,0,0
0,4,4389,756,0,0,0,0,0
0,13,4428,605,0,0,0,0,0
0,6,4177,698,0,0,0,0,0
0,9,4374,778,0,0,0,0,0
0,19,4210,603,0,0,0,0,0
0,8,4425,850,0,0,0,0,0
0,11,4374,726,0,0,0,0,0
0,14,4373,773,0,0,0,0,0
0,5,4371,544,0,0,0,0,0
0,18,4165,673,0,0,0,0,0
0,15,4165,649,0,0,0,0,0
0,20,4327,730,0,0,0,0,0
0,10,4387,796,0,0,0,0,0
0,1,4397,637,0,0,0,0,0
0,7,4401,745,0,0,0,0,0
1,3,1965,126,0,0,0,0,0
1,5,1969,147,0,0,0,0,0
1,8,1966,145,0,0,0,0,0
1,9,1971,149,0,0,0,0,0
1,18,1800,183,0,0,0,0,0
1,11,1974,154,0,0,0,0,0
1,12,1795,117,0,0,0,0,0
1,14,1961,119,0,0,0,0,0
1,7,2018,142,0,0,0,0,0
1,20,2006,152,0,0,0,0,0
1,17,1800,156,0,0,0,0,0
1,13,1726,135,0,0,0,0,0
1,4,1710,119,0,0,0,0,0
1,6,314,45,0,0,0,0,0
1,10,311,46,0,0,0,0,0
1,2,315,74,0,0,0,0,0
1,19,4982,611,0,0,0,0,0
1,16,4959,585,0,0,0,0,0
1,1,313,101,0,0,0,0,0
1,15,4972,628,0,0,0,0,0
2,3,1950,147,0,0,0,0,0
2,8,1942,159,0,0,0,0,0
2,7,310,36,0,0,0,0,0
2,4,314,58,0,0,0,0,0
2,15,318,25,0,0,0,0,0
2,10,311,36,0,0,0,0,0
2,9,310,37,0,0,0,0,0
2,5,309,42,0,0,0,0,0
2,1,313,70,0,0,0,0,0
2,6,1757,141,0,0,0,0,0
2,11,1710,174,0,0,0,0,0
2,20,308,55,0,0,0,0,0
2,13,313,63,0,0,0,0,0
2,2,315,85,0,0,0,0,0
2,14,309,64,0,0,0,0,0
2,12,4925,718,0,0,0,0,0
2,16,316,54,0,0,0,0,0
2,19,316,64,0,0,0,0,0
2,17,4991,846,0,0,0,0,0
2,18,4936,578,0,0,0,0,0
3,8,2001,168,0,0,0,0,0
3,3,2046,155,0,0,0,0,0
3,7,310,28,0,0,0,0,0
3,1,313,33,0,0,0,0,0
3,4,314,39,0,0,0,0,0
3,5,309,43,0,0,0,0,0
3,14,309,32,0,0,0,0,0
3,2,315,74,0,0,0,0,0
3,11,311,35,0,0,0,0,0
3,9,310,35,0,0,0,0,0
3,6,312,86,0,0,0,0,0
3,10,311,38,0,0,0,0,0
3,12,313,50,0,0,0,0,0
3,13,313,47,0,0,0,0,0
3,17,316,51,0,0,0,0,0
3,18,313,51,0,0,0,0,0
3,20,308,52,0,0,0,0,0
3,16,316,61,0,0,0,0,0
3,15,318,72,0,0,0,0,0
3,19,316,114,0,0,0,0,0
4,5,309,31,0,0,0,0,0
4,12,313,32,0,0,0,0,0
4,6,312,29,0,0,0,0,0
4,10,311,34,0,0,0,0,0
4,3,311,40,0,0,0,0,0
4,19,316,35,0,0,0,0,0
4,9,310,43,0,0,0,0,0
4,7,310,56,0,0,0,0,0
4,20,308,43,0,0,0,0,0
4,14,309,46,0,0,0,0,0
4,4,314,52,0,0,0,0,0
4,8,313,58,0,0,0,0,0
4,13,1727,123,0,0,0,0,0
4,11,311,70,0,0,0,0,0
4,18,313,49,0,0,0,0,0
4,17,316,53,0,0,0,0,0
4,1,313,81,0,0,0,0,0
4,2,315,71,0,0,0,0,0
4,15,318,60,0,0,0,0,0
4,16,316,69,0,0,0,0,0
5,6,312,27,0,0,0,0,0
5,2,315,32,0,0,0,0,0
5,18,1996,182,0,0,0,0,0
5,5,309,40,0,0,0,0,0
5,7,1742,160,0,0,0,0,0
5,10,311,56,0,0,0,0,0
5,4,314,62,0,0,0,0,0
5,12,313,38,0,0,0,0,0
5,20,308,36,0,0,0,0,0
5,11,311,44,0,0,0,0,0
5,13,313,41,0,0,0,0,0
5,1,313,81,0,0,0,0,0
5,8,313,52,0,0,0,0,0
5,3,311,56,0,0,0,0,0
5,14,309,57,0,0,0,0,0
5,19,316,57,0,0,0,0,0
5,16,316,61,0,0,0,0,0
5,15,318,59,0,0,0,0,0
5,17,316,60,0,0,0,0,0
5,9,310,122,0,0,0,0,0
6,5,309,35,0,0,0,0,0
6,10,1969,127,0,0,0,0,0
6,6,312,49,0,0,0,0,0
6,13,313,35,0,0,0,0,0
6,14,309,36,0,0,0,0,0
6,9,310,43,0,0,0,0,0
6,4,314,42,0,0,0,0,0
6,15,318,40,0,0,0,0,0
6,19,316,40,0,0,0,0,0
6,18,314,40,0,0,0,0,0
6,20,308,49,0,0,0,0,0
6,11,311,44,0,0,0,0,0
6,8,313,50,0,0,0,0,0
6,2,315,70,0,0,0,0,0
6,3,311,65,0,0,0,0,0
6,1,313,78,0,0,0,0,0
6,12,313,52,0,0,0,0,0
6,16,316,51,0,0,0,0,0
6,7,310,61,0,0,0,0,0
6,17,316,71,0,0,0,0,0
7,10,2014,177,0,0,0,0,0
7,3,311,56,0,0,0,0,0
7,9,310,37,0,0,0,0,0
7,1,313,39,0,0,0,0,0
7,19,1992,173,0,0,0,0,0
7,5,309,41,0,0,0,0,0
7,2,315,57,0,0,0,0,0
7,8,313,45,0,0,0,0,0
7,6,312,48,0,0,0,0,0
7,7,310,48,0,0,0,0,0
7,11,311,52,0,0,0,0,0
7,4,314,68,0,0,0,0,0
7,16,316,30,0,0,0,0,0
7,12,313,35,0,0,0,0,0
7,13,313,45,0,0,0,0,0
7,14,309,45,0,0,0,0,0
7,17,316,50,0,0,0,0,0
7,20,1741,189,0,0,0,0,0
7,15,318,78,0,0,0,0,0
7,18,314,138,0,0,0,0,0
8,2,315,32,0,0,0,0,0
8,6,1757,158,0,0,0,0,0
8,17,1738,165,0,0,0,0,0
8,15,318,30,0,0,0,0,0
8,14,309,39,0,0,0,0,0
8,13,313,41,0,0,0,0,0
8,9,310,45,0,0,0,0,0
8,3,311,55,0,0,0,0,0
8,7,310,45,0,0,0,0,0
8,5,309,73,0,0,0,0,0
8,8,313,48,0,0,0,0,0
8,18,314,40,0,0,0,0,0
8,10,311,42,0,0,0,0,0
8,1,313,54,0,0,0,0,0
8,16,316,48,0,0,0,0,0
8,20,310,53,0,0,0,0,0
8,11,311,63,0,0,0,0,0
8,4,314,70,0,0,0,0,0
8,12,313,63,0,0,0,0,0
8,19,315,65,0,0,0,0,0
9,8,313,44,0,0,0,0,0
9,2,315,43,0,0,0,0,0
9,9,310,43,0,0,0,0,0
9,5,309,53,0,0,0,0,0
9,4,314,54,0,0,0,0,0
9,10,311,58,0,0,0,0,0
9,6,312,58,0,0,0,0,0
9,13,313,43,0,0,0,0,0
9,3,311,63,0,0,0,0,0
9,1,313,68,0,0,0,0,0
9,7,310,72,0,0,0,0,0
9,14,309,60,0,0,0,0,0
9,19,315,61,0,0,0,0,0
9,15,318,63,0,0,0,0,0
9,18,314,69,0,0,0,0,0
9,11,311,73,0,0,0,0,0
9,20,310,73,0,0,0,0,0
9,16,316,80,0,0,0,0,0
9,17,312,92,0,0,0,0,0
9,12,313,179,0,0,0,0,0
10,4,1967,130,0,0,0,0,0
10,8,313,35,0,0,0,0,0
10,1,313,67,0,0,0,0,0
10,2,315,62,0,0,0,0,0
10,9,1966,136,0,0,0,0,0
10,3,311,63,0,0,0,0,0
10,7,310,53,0,0,0,0,0
10,11,311,50,0,0,0,0,0
10,5,309,67,0,0,0,0,0
10,15,318,43,0,0,0,0,0
10,6,312,74,0,0,0,0,0
10,10,311,51,0,0,0,0,0
10,17,312,51,0,0,0,0,0
10,12,313,56,0,0,0,0,0
10,13,1722,169,0,0,0,0,0
10,16,316,60,0,0,0,0,0
10,14,309,64,0,0,0,0,0
10,20,310,67,0,0,0,0,0
10,18,314,71,0,0,0,0,0
10,19,315,89,0,0,0,0,0
11,11,1965,107,0,0,0,0,0
11,9,1967,131,0,0,0,0,0
11,4,313,51,0,0,0,0,0
11,6,312,40,0,0,0,0,0
11,5,309,50,0,0,0,0,0
11,3,311,78,0,0,0,0,0
11,1,313,62,0,0,0,0,0
11,2,315,45,0,0,0,0,0
11,18,314,43,0,0,0,0,0
11,14,309,42,0,0,0,0,0
11,10,311,42,0,0,0,0,0
11,12,313,51,0,0,0,0,0
11,16,316,44,0,0,0,0,0
11,13,312,47,0,0,0,0,0
11,20,310,50,0,0,0,0,0
11,7,310,64,0,0,0,0,0
11,17,312,60,0,0,0,0,0
11,8,313,68,0,0,0,0,0
11,15,318,83,0,0,0,0,0
11,19,315,95,0,0,0,0,0
12,11,1939,123,0,0,0,0,0
12,2,2005,180,0,0,0,0,0
12,9,1996,130,0,0,0,0,0
12,8,1968,171,0,0,0,0,0
12,3,311,42,0,0,0,0,0
12,5,309,71,0,0,0,0,0
12,1,1756,173,0,0,0,0,0
12,7,310,48,0,0,0,0,0
12,10,311,48,0,0,0,0,0
12,4,313,53,0,0,0,0,0
12,6,312,58,0,0,0,0,0
12,16,316,35,0,0,0,0,0
12,19,315,37,0,0,0,0,0
12,13,312,48,0,0,0,0,0
12,14,309,47,0,0,0,0,0
12,18,314,58,0,0,0,0,0
12,12,313,54,0,0,0,0,0
12,15,318,63,0,0,0,0,0
12,17,312,51,0,0,0,0,0
12,20,310,53,0,0,0,0,0
13,10,1971,126,0,0,0,0,0
13,11,1970,104,0,0,0,0,0
13,14,1951,139,0,0,0,0,0
13,1,312,38,0,0,0,0,0
13,20,1971,128,0,0,0,0,0
13,3,311,40,0,0,0,0,0
13,5,4899,573,0,0,0,0,0
13,2,312,50,0,0,0,0,0
13,7,310,55,0,0,0,0,0
13,8,310,38,0,0,0,0,0
13,13,312,33,0,0,0,0,0
13,6,312,71,0,0,0,0,0
13,12,313,52,0,0,0,0,0
13,16,316,52,0,0,0,0,0
13,4,313,87,0,0,0,0,0
13,17,312,71,0,0,0,0,0
13,19,315,71,0,0,0,0,0
13,18,314,80,0,0,0,0,0
13,15,1997,177,0,0,0,0,0
13,9,309,40,0,0,0,0,0
14,7,2019,167,0,0,0,0,0
14,10,2005,149,0,0,0,0,0
14,6,1762,171,0,0,0,0,0
14,14,1997,193,0,0,0,0,0
14,5,309,46,0,0,0,0,0
14,3,311,42,0,0,0,0,0
14,2,312,77,0,0,0,0,0
14,12,313,40,0,0,0,0,0
14,1,312,59,0,0,0,0,0
14,9,309,59,0,0,0,0,0
14,4,313,67,0,0,0,0,0
14,8,310,43,0,0,0,0,0
14,13,312,50,0,0,0,0,0
14,20,1704,185,0,0,0,0,0
14,15,319,41,0,0,0,0,0
14,19,315,62,0,0,0,0,0
14,17,312,61,0,0,0,0,0
14,16,316,67,0,0,0,0,0
14,18,314,41,0,0,0,0,0
14,11,4879,767,0,0,0,0,0
15,11,1959,122,0,0,0,0,0
15,3,1808,133,0,0,0,0,0
15,7,312,69,0,0,0,0,0
15,1,1703,132,0,0,0,0,0
15,9,309,33,0,0,0,0,0
15,16,316,38,0,0,0,0,0
15,8,310,35,0,0,0,0,0
15,2,312,78,0,0,0,0,0
15,5,309,50,0,0,0,0,0
15,10,312,40,0,0,0,0,0
15,13,312,51,0,0,0,0,0
15,4,313,92,0,0,0,0,0
15,20,309,51,0,0,0,0,0
15,6,313,53,0,0,0,0,0
15,19,315,59,0,0,0,0,0
15,18,314,62,0,0,0,0,0
15,15,319,72,0,0,0,0,0
15,14,310,76,0,0,0,0,0
15,17,312,77,0,0,0,0,0
15,12,313,77,0,0,0,0,0
16,9,309,35,0,0,0,0,0
16,1,1711,149,0,0,0,0,0
16,16,316,34,0,0,0,0,0
16,10,312,41,0,0,0,0,0
16,12,313,40,0,0,0,0,0
16,8,310,52,0,0,0,0,0
16,11,308,56,0,0,0,0,0
16,7,312,45,0,0,0,0,0
16,5,309,59,0,0,0,0,0
16,13,5043,801,0,0,0,0,0
16,2,312,65,0,0,0,0,0
16,20,309,56,0,0,0,0,0
16,17,312,59,0,0,0,0,0
16,18,314,64,0,0,0,0,0
16,14,310,64,0,0,0,0,0
16,19,315,65,0,0,0,0,0
16,3,5206,706,0,0,0,0,0
16,6,313,69,0,0,0,0,0
16,4,313,87,0,0,0,0,0
16,15,319,118,0,0,0,0,0
17,3,2015,170,0,0,0,0,0
17,7,312,46,0,0,0,0,0
17,14,310,28,0,0,0,0,0
17,2,312,50,0,0,0,0,0
17,10,312,41,0,0,0,0,0
17,8,310,38,0,0,0,0,0
17,1,309,59,0,0,0,0,0
17,12,313,34,0,0,0,0,0
17,6,1761,182,0,0,0,0,0
17,13,310,37,0,0,0,0,0
17,9,309,42,0,0,0,0,0
17,4,313,61,0,0,0,0,0
17,16,316,56,0,0,0,0,0
17,19,315,60,0,0,0,0,0
17,11,308,65,0,0,0,0,0
17,5,309,62,0,0,0,0,0
17,20,4887,709,0,0,0,0,0
17,18,314,70,0,0,0,0,0
17,15,319,77,0,0,0,0,0
17,17,312,103,0,0,0,0,0
18,2,1959,135,0,0,0,0,0
18,1,309,36,0,0,0,0,0
18,10,312,34,0,0,0,0,0
18,11,308,34,0,0,0,0,0
18,9,309,37,0,0,0,0,0
18,5,309,46,0,0,0,0,0
18,4,313,44,0,0,0,0,0
18,7,1738,176,0,0,0,0,0
18,12,313,34,0,0,0,0,0
18,17,312,38,0,0,0,0,0
18,19,315,41,0,0,0,0,0
18,16,316,37,0,0,0,0,0
18,15,319,40,0,0,0,0,0
18,6,313,62,0,0,0,0,0
18,8,310,65,0,0,0,0,0
18,13,310,53,0,0,0,0,0
18,3,317,78,0,0,0,0,0
18,14,310,54,0,0,0,0,0
18,18,314,66,0,0,0,0,0
18,20,4947,657,0,0,0,0,0
19,2,1946,130,0,0,0,0,0
19,6,313,47,0,0,0,0,0
19,1,309,38,0,0,0,0,0
19,4,313,41,0,0,0,0,0
19,3,1740,171,0,0,0,0,0
19,7,309,39,0,0,0,0,0
19,11,308,30,0,0,0,0,0
19,5,309,50,0,0,0,0,0
19,8,310,47,0,0,0,0,0
19,14,310,41,0,0,0,0,0
19,12,313,43,0,0,0,0,0
19,19,315,36,0,0,0,0,0
19,17,312,55,0,0,0,0,0
19,10,312,42,0,0,0,0,0
19,15,319,63,0,0,0,0,0
19,9,309,63,0,0,0,0,0
19,13,310,65,0,0,0,0,0
19,18,314,55,0,0,0,0,0
19,16,316,68,0,0,0,0,0
19,20,314,54,0,0,0,0,0
20,9,309,45,0,0,0,0,0
20,14,1815,157,0,0,0,0,0
20,6,2024,176,0,0,0,0,0
20,10,1981,139,0,0,0,0,0
20,7,309,69,0,0,0,0,0
20,2,2011,155,0,0,0,0,0
20,3,315,31,0,0,0,0,0
20,12,313,41,0,0,0,0,0
20,5,309,44,0,0,0,0,0
20,4,313,43,0,0,0,0,0
20,13,310,41,0,0,0,0,0
20,11,308,40,0,0,0,0,0
20,18,314,44,0,0,0,0,0
20,15,319,56,0,0,0,0,0
20,8,310,44,0,0,0,0,0
20,16,316,52,0,0,0,0,0
20,20,314,55,0,0,0,0,0
20,19,315,54,0,0,0,0,0
20,17,312,57,0,0,0,0,0
20,1,309,66,0,0,0,0,0
21,2,312,51,0,0,0,0,0
21,6,311,32,0,0,0,0,0
21,3,315,46,0,0,0,0,0
21,13,310,32,0,0,0,0,0
21,4,313,44,0,0,0,0,0
21,1,5044,546,0,0,0,0,0
21,5,309,36,0,0,0,0,0
21,7,309,44,0,0,0,0,0
21,9,309,42,0,0,0,0,0
21,12,313,45,0,0,0,0,0
21,8,310,60,0,0,0,0,0
21,20,314,50,0,0,0,0,0
21,16,316,54,0,0,0,0,0
21,19,315,53,0,0,0,0,0
21,11,308,61,0,0,0,0,0
21,18,314,59,0,0,0,0,0
21,10,5131,786,0,0,0,0,0
21,14,5064,685,0,0,0,0,0
21,17,312,67,0,0,0,0,0
21,15,319,58,0,0,0,0,0
22,4,1952,147,0,0,0,0,0
22,10,1966,145,0,0,0,0,0
22,2,312,53,0,0,0,0,0
22,14,1967,132,0,0,0,0,0
22,3,315,31,0,0,0,0,0
22,9,309,33,0,0,0,0,0
22,5,309,30,0,0,0,0,0
22,17,312,43,0,0,0,0,0
22,13,1703,164,0,0,0,0,0
22,1,308,65,0,0,0,0,0
22,7,309,41,0,0,0,0,0
22,11,308,40,0,0,0,0,0
22,6,311,51,0,0,0,0,0
22,19,315,43,0,0,0,0,0
22,8,310,56,0,0,0,0,0
22,16,316,46,0,0,0,0,0
22,20,314,48,0,0,0,0,0
22,18,314,62,0,0,0,0,0
22,12,313,61,0,0,0,0,0
