step,tick,wall_time_s,input_tokens,output_tokens,total_errors,connection_errors,openai_errors,timeout_errors,other_errors
0,21601,23.6568,86574,13934,0,0,0,0,0
1,21901,20.0275,40827,3934,0,0,0,0,0
2,22201,18.7455,26273,3452,0,0,0,0,0
3,22501,6.4094,9674,1264,0,0,0,0,0
4,22801,5.243,7665,1075,0,0,0,0,0
5,23101,5.9937,9366,1323,0,0,0,0,0
6,23401,5.2294,7910,1078,0,0,0,0,0
7,23701,6.5057,11064,1451,0,0,0,0,0
8,24001,5.5228,9120,1229,0,0,0,0,0
9,24301,5.1765,6249,1349,0,0,0,0,0
10,24601,6.413,10967,1458,0,0,0,0,0
11,24901,5.4618,9558,1253,0,0,0,0,0
12,25201,6.5308,14349,1543,0,0,0,0,0
13,25501,13.2301,19130,2025,0,0,0,0,0
14,25801,17.8605,18743,2387,0,0,0,0,0
15,26101,7.5918,10780,1400,0,0,0,0,0
16,26401,18.3558,17266,2665,0,0,0,0,0
17,26701,16.0948,13966,1990,0,0,0,0,0
18,27001,15.0191,13953,1767,0,0,0,0,0
19,27301,5.6389,9301,1178,0,0,0,0,0
20,27601,7.2513,12826,1409,0,0,0,0,0
21,27901,18.7327,20548,2851,0,0,0,0,0
22,28201,6.5257,12582,1371,0,0,0,0,0
23,28501,16.6142,12748,1777,0,0,0,0,0
24,28801,6.7845,12896,1398,0,0,0,0,0
25,29101,20.9119,26286,3766,0,0,0,0,0
26,29401,16.4917,17582,2036,0,0,0,0,0
27,29701,17.4904,15572,1985,0,0,0,0,0
28,30001,6.4038,11352,1434,0,0,0,0,0
29,30301,6.2055,9090,1253,0,0,0,0,0
30,30601,5.1928,6241,1008,0,0,0,0,0
31,30901,19.7208,19976,2475,0,0,0,0,0
32,31201,5.8947,9323,1312,0,0,0,0,0
33,31501,7.3866,9631,1258,0,0,0,0,0
34,31801,14.3179,12286,1741,0,0,0,0,0
35,32101,4.2623,6245,1241,0,0,0,0,0
36,32401,3.5908,6245,1124,0,0,0,0,0
37,32701,16.8695,12712,1946,0,0,0,0,0
38,33001,14.9945,10203,1541,0,0,0,0,0
39,33301,14.6961,10561,1705,0,0,0,0,0
40,33601,14.4873,13515,1866,0,0,0,0,0
41,33901,18.8467,19930,2921,0,0,0,0,0
42,34201,14.9412,16358,2180,0,0,0,0,0
43,34501,14.4699,19725,2652,0,0,0,0,0
44,34801,17.911,17124,2483,0,0,0,0,0
45,35101,16.276,16119,2332,0,0,0,0,0
46,35401,20.9037,28224,3960,0,0,0,0,0
47,35701,15.6575,18379,2446,0,0,0,0,0
48,36001,17.4232,12522,1966,0,0,0,0,0
49,36301,17.5021,22343,3074,0,0,0,0,0
50,36601,16.9421,24249,3401,0,0,0,0,0
51,36901,7.2275,9441,1295,0,0,0,0,0
52,37201,15.7644,24428,3134,0,0,0,0,0
53,37501,16.1221,18270,2490,0,0,0,0,0
54,37801,17.9662,18235,2218,0,0,0,0,0
55,38101,14.6751,20201,2601,0,0,0,0,0
56,38401,14.245,18513,2165,0,0,0,0,0
57,38701,16.7279,30928,3936,0,0,0,0,0
58,39001,17.0455,27393,3508,0,0,0,0,0
59,39301,17.5402,16702,2361,0,0,0,0,0
60,39601,19.5243,27364,3606,0,0,0,0,0
61,39901,19.9723,32837,4550,0,0,0,0,0
62,40201,16.5069,22951,3177,0,0,0,0,0
63,40501,15.0369,25936,3201,0,0,0,0,0
64,40801,6.4044,7961,1164,0,0,0,0,0
65,41101,13.3843,15194,1939,0,0,0,0,0
66,41401,21.4236,23622,2841,0,0,0,0,0
67,41701,24.3674,25762,3277,0,0,0,0,0
68,42001,30.3317,35889,4282,0,0,0,0,0
69,42301,23.4981,43720,5411,0,0,0,0,0
70,42601,23.8539,41183,5411,0,0,0,0,0
71,42901,28.2733,37530,4635,0,0,0,0,0
72,43201,22.2061,34492,4177,0,0,0,0,0
73,43501,17.1476,26813,3345,0,0,0,0,0
74,43801,16.4834,31724,3995,0,0,0,0,0
75,44101,15.3507,34622,3927,0,0,0,0,0
76,44401,17.5617,25951,3784,0,0,0,0,0
77,44701,15.8044,19982,2294,0,0,0,0,0
78,45001,16.3814,30934,3698,0,0,0,0,0
