step,agent_id,input_tokens,output_tokens,total_errors,connection_errors,openai_errors,timeout_errors,other_errors
0,20,4417,712,0,0,0,0,0
0,27,4199,697,0,0,0,0,0
0,30,4377,790,0,0,0,0,0
0,51,4369,761,0,0,0,0,0
0,38,4173,643,0,0,0,0,0
0,85,4189,607,0,0,0,0,0
0,59,4144,898,0,0,0,0,0
0,49,4424,686,0,0,0,0,0
0,17,4442,847,0,0,0,0,0
0,22,4385,543,0,0,0,0,0
0,26,4206,723,0,0,0,0,0
0,44,4209,650,0,0,0,0,0
0,4,4381,772,0,0,0,0,0
0,5,4386,627,0,0,0,0,0
0,95,4375,785,0,0,0,0,0
0,35,4212,644,0,0,0,0,0
0,56,4373,736,0,0,0,0,0
0,14,4329,477,0,0,0,0,0
0,65,4371,773,0,0,0,0,0
0,36,4477,791,0,0,0,0,0
0,3,4337,768,0,0,0,0,0
0,58,4165,745,0,0,0,0,0
0,83,4151,649,0,0,0,0,0
0,32,4375,743,0,0,0,0,0
0,74,4892,595,0,0,0,0,0
0,70,4387,609,0,0,0,0,0
0,88,4391,566,0,0,0,0,0
0,91,4152,562,0,0,0,0,0
0,33,4399,799,0,0,0,0,0
0,86,4385,546,0,0,0,0,0
0,50,4370,508,0,0,0,0,0
0,99,4419,809,0,0,0,0,0
0,46,4381,777,0,0,0,0,0
0,42,4214,638,0,0,0,0,0
0,97,4380,740,0,0,0,0,0
0,81,4227,731,0,0,0,0,0
0,9,4120,607,0,0,0,0,0
0,73,4376,758,0,0,0,0,0
0,93,4328,801,0,0,0,0,0
0,12,4199,733,0,0,0,0,0
0,40,4383,516,0,0,0,0,0
0,1,4118,691,0,0,0,0,0
0,24,4446,696,0,0,0,0,0
0,25,4366,692,0,0,0,0,0
0,57,4384,698,0,0,0,0,0
0,63,4371,774,0,0,0,0,0
0,6,4330,590,0,0,0,0,0
0,37,4372,816,0,0,0,0,0
0,13,4384,774,0,0,0,0,0
0,47,4134,731,0,0,0,0,0
0,8,4375,756,0,0,0,0,0
0,21,4415,811,0,0,0,0,0
0,45,4384,733,0,0,0,0,0
0,68,4109,777,0,0,0,0,0
0,98,4422,678,0,0,0,0,0
0,62,4125,695,0,0,0,0,0
0,11,4368,747,0,0,0,0,0
0,96,4204,649,0,0,0,0,0
0,53,4214,621,0,0,0,0,0
0,43,4382,753,0,0,0,0,0
0,94,4389,778,0,0,0,0,0
0,2,4167,734,0,0,0,0,0
0,64,4365,735,0,0,0,0,0
0,89,4196,739,0,0,0,0,0
0,92,4380,549,0,0,0,0,0
0,87,4412,788,0,0,0,0,0
0,69,4378,811,0,0,0,0,0
0,80,4374,797,0,0,0,0,0
0,19,4373,519,0,0,0,0,0
0,66,4199,668,0,0,0,0,0
0,72,4377,662,0,0,0,0,0
0,90,4193,653,0,0,0,0,0
0,23,4380,701,0,0,0,0,0
0,100,4226,663,0,0,0,0,0
0,84,4379,756,0,0,0,0,0
0,34,4372,559,0,0,0,0,0
0,28,4385,801,0,0,0,0,0
0,75,4204,695,0,0,0,0,0
0,7,4125,541,0,0,0,0,0
0,60,4201,667,0,0,0,0,0
0,39,4377,575,0,0,0,0,0
0,52,4391,578,0,0,0,0,0
0,79,4379,763,0,0,0,0,0
0,77,4376,745,0,0,0,0,0
0,16,4100,487,0,0,0,0,0
0,55,4119,725,0,0,0,0,0
0,41,4353,773,0,0,0,0,0
0,18,4203,826,0,0,0,0,0
0,15,4368,776,0,0,0,0,0
0,48,4395,781,0,0,0,0,0
0,29,4329,644,0,0,0,0,0
0,82,4151,766,0,0,0,0,0
0,76,4409,694,0,0,0,0,0
0,61,4373,532,0,0,0,0,0
0,71,4392,536,0,0,0,0,0
0,67,4378,662,0,0,0,0,0
0,31,4239,668,0,0,0,0,0
0,78,4412,686,0,0,0,0,0
0,10,4386,716,0,0,0,0,0
0,54,4376,723,0,0,0,0,0
1,5,1973,190,0,0,0,0,0
1,6,1974,162,0,0,0,0,0
1,3,1986,151,0,0,0,0,0
1,9,1971,141,0,0,0,0,0
1,2,313,56,0,0,0,0,0
1,14,1961,145,0,0,0,0,0
1,8,1970,155,0,0,0,0,0
1,4,1964,187,0,0,0,0,0
1,12,4927,659,0,0,0,0,0
1,13,1968,152,0,0,0,0,0
1,17,1802,141,0,0,0,0,0
1,10,1981,149,0,0,0,0,0
1,19,1966,137,0,0,0,0,0
1,23,1994,155,0,0,0,0,0
1,15,1962,161,0,0,0,0,0
1,30,1801,176,0,0,0,0,0
1,18,1993,173,0,0,0,0,0
1,24,1982,119,0,0,0,0,0
1,21,1971,151,0,0,0,0,0
1,1,1703,127,0,0,0,0,0
1,7,1976,176,0,0,0,0,0
1,22,1720,141,0,0,0,0,0
1,11,2007,181,0,0,0,0,0
1,28,1786,149,0,0,0,0,0
1,25,1723,207,0,0,0,0,0
1,39,1976,175,0,0,0,0,0
