step,agent_id,input_tokens,output_tokens,total_errors,connection_errors,openai_errors,timeout_errors,other_errors
0,62,3706,694,0,0,0,0,0
0,13,3712,690,0,0,0,0,0
0,20,3684,628,0,0,0,0,0
0,90,3732,675,0,0,0,0,0
0,40,3731,722,0,0,0,0,0
0,51,3729,716,0,0,0,0,0
0,34,3727,676,0,0,0,0,0
0,76,3719,646,0,0,0,0,0
0,26,3710,675,0,0,0,0,0
0,18,3772,735,0,0,0,0,0
0,91,3746,737,0,0,0,0,0
0,6,3718,652,0,0,0,0,0
0,89,3703,610,0,0,0,0,0
0,7,3739,721,0,0,0,0,0
0,36,3722,732,0,0,0,0,0
0,48,3706,709,0,0,0,0,0
0,19,3934,594,0,0,0,0,0
0,11,3748,702,0,0,0,0,0
0,53,3724,699,0,0,0,0,0
0,8,3696,707,0,0,0,0,0
0,71,3717,661,0,0,0,0,0
0,65,3690,586,0,0,0,0,0
0,33,3706,685,0,0,0,0,0
0,41,3706,651,0,0,0,0,0
0,60,3721,664,0,0,0,0,0
0,24,3723,702,0,0,0,0,0
0,100,3701,713,0,0,0,0,0
0,81,3712,751,0,0,0,0,0
0,45,3703,706,0,0,0,0,0
0,28,3701,664,0,0,0,0,0
0,9,3713,671,0,0,0,0,0
0,83,3733,720,0,0,0,0,0
0,46,3909,663,0,0,0,0,0
0,5,3764,716,0,0,0,0,0
0,99,3693,652,0,0,0,0,0
0,21,3725,729,0,0,0,0,0
0,10,3716,677,0,0,0,0,0
0,37,3731,650,0,0,0,0,0
0,75,3728,713,0,0,0,0,0
0,63,3763,675,0,0,0,0,0
0,47,3727,728,0,0,0,0,0
0,84,3760,772,0,0,0,0,0
0,35,3683,733,0,0,0,0,0
0,29,3698,712,0,0,0,0,0
0,67,3754,751,0,0,0,0,0
0,54,3724,677,0,0,0,0,0
0,22,3714,742,0,0,0,0,0
0,52,3727,702,0,0,0,0,0
0,42,3660,679,0,0,0,0,0
0,59,3713,716,0,0,0,0,0
0,30,3699,661,0,0,0,0,0
0,25,3702,681,0,0,0,0,0
0,3,3697,726,0,0,0,0,0
0,88,3703,694,0,0,0,0,0
0,4,3703,747,0,0,0,0,0
0,82,3736,687,0,0,0,0,0
0,16,3723,701,0,0,0,0,0
0,78,3672,708,0,0,0,0,0
0,12,3709,685,0,0,0,0,0
0,85,3775,687,0,0,0,0,0
0,87,3728,705,0,0,0,0,0
0,31,3682,710,0,0,0,0,0
0,38,3717,671,0,0,0,0,0
0,92,3720,681,0,0,0,0,0
0,55,3739,689,0,0,0,0,0
0,49,3735,700,0,0,0,0,0
0,72,3688,714,0,0,0,0,0
0,64,3710,696,0,0,0,0,0
0,86,3726,679,0,0,0,0,0
0,58,3621,614,0,0,0,0,0
0,68,3739,664,0,0,0,0,0
0,66,3721,700,0,0,0,0,0
0,61,3682,610,0,0,0,0,0
0,17,3962,747,0,0,0,0,0
0,50,3711,733,0,0,0,0,0
0,43,3711,705,0,0,0,0,0
0,23,3771,754,0,0,0,0,0
0,79,3777,724,0,0,0,0,0
0,73,3780,665,0,0,0,0,0
0,14,3991,700,0,0,0,0,0
0,95,3748,716,0,0,0,0,0
0,93,3664,701,0,0,0,0,0
0,39,3698,650,0,0,0,0,0
0,94,3727,722,0,0,0,0,0
0,98,3684,698,0,0,0,0,0
0,1,3697,735,0,0,0,0,0
0,27,3690,712,0,0,0,0,0
0,77,3682,556,0,0,0,0,0
0,69,3691,673,0,0,0,0,0
0,44,3695,660,0,0,0,0,0
0,70,3729,695,0,0,0,0,0
0,96,3688,722,0,0,0,0,0
0,56,3728,753,0,0,0,0,0
0,97,3700,656,0,0,0,0,0
0,15,3703,736,0,0,0,0,0
0,80,3727,701,0,0,0,0,0
0,74,3695,693,0,0,0,0,0
0,32,3754,710,0,0,0,0,0
0,57,3731,722,0,0,0,0,0
0,2,3776,674,0,0,0,0,0
1,4,280,51,0,0,0,0,0
1,1,279,56,0,0,0,0,0
1,11,280,53,0,0,0,0,0
1,9,281,57,0,0,0,0,0
1,5,281,58,0,0,0,0,0
1,40,281,35,0,0,0,0,0
1,2,283,49,0,0,0,0,0
1,6,282,73,0,0,0,0,0
1,8,278,47,0,0,0,0,0
1,10,283,67,0,0,0,0,0
1,3,277,70,0,0,0,0,0
1,41,280,46,0,0,0,0,0
1,50,280,59,0,0,0,0,0
1,12,279,47,0,0,0,0,0
1,45,279,72,0,0,0,0,0
1,46,277,52,0,0,0,0,0
1,51,281,55,0,0,0,0,0
1,44,279,71,0,0,0,0,0
1,18,282,54,0,0,0,0,0
1,47,281,49,0,0,0,0,0
1,48,286,55,0,0,0,0,0
1,49,278,83,0,0,0,0,0
1,52,283,100,0,0,0,0,0
1,54,281,52,0,0,0,0,0
1,19,281,39,0,0,0,0,0
1,15,278,40,0,0,0,0,0
1,57,284,44,0,0,0,0,0
1,61,283,50,0,0,0,0,0
1,69,283,45,0,0,0,0,0
1,79,283,45,0,0,0,0,0
1,58,283,49,0,0,0,0,0
1,56,282,72,0,0,0,0,0
1,75,281,48,0,0,0,0,0
1,96,281,47,0,0,0,0,0
1,20,278,49,0,0,0,0,0
1,95,279,50,0,0,0,0,0
1,77,278,51,0,0,0,0,0
1,67,278,52,0,0,0,0,0
1,23,281,48,0,0,0,0,0
1,31,276,49,0,0,0,0,0
1,76,281,53,0,0,0,0,0
1,24,281,52,0,0,0,0,0
1,21,281,51,0,0,0,0,0
1,36,281,50,0,0,0,0,0
1,13,280,53,0,0,0,0,0
1,80,283,54,0,0,0,0,0
1,14,282,54,0,0,0,0,0
1,82,281,54,0,0,0,0,0
1,64,279,55,0,0,0,0,0
1,39,278,50,0,0,0,0,0
1,98,278,55,0,0,0,0,0
1,84,285,55,0,0,0,0,0
1,88,280,53,0,0,0,0,0
1,93,279,54,0,0,0,0,0
1,97,280,56,0,0,0,0,0
1,53,283,73,0,0,0,0,0
1,55,278,63,0,0,0,0,0
1,86,281,54,0,0,0,0,0
1,30,278,53,0,0,0,0,0
1,65,281,58,0,0,0,0,0
1,62,282,59,0,0,0,0,0
1,66,281,59,0,0,0,0,0
1,32,280,55,0,0,0,0,0
1,35,282,55,0,0,0,0,0
1,85,282,58,0,0,0,0,0
1,28,279,55,0,0,0,0,0
1,63,281,61,0,0,0,0,0
1,38,283,56,0,0,0,0,0
1,83,281,60,0,0,0,0,0
1,60,284,63,0,0,0,0,0
1,26,279,59,0,0,0,0,0
1,25,278,61,0,0,0,0,0
1,7,282,61,0,0,0,0,0
1,94,281,58,0,0,0,0,0
1,78,279,61,0,0,0,0,0
1,29,279,58,0,0,0,0,0
1,22,279,64,0,0,0,0,0
1,87,282,62,0,0,0,0,0
1,90,281,62,0,0,0,0,0
1,17,282,63,0,0,0,0,0
1,42,278,58,0,0,0,0,0
1,71,281,63,0,0,0,0,0
1,37,281,60,0,0,0,0,0
1,91,280,63,0,0,0,0,0
1,72,283,66,0,0,0,0,0
1,81,284,65,0,0,0,0,0
1,74,278,66,0,0,0,0,0
1,34,282,63,0,0,0,0,0
1,68,285,67,0,0,0,0,0
1,16,281,67,0,0,0,0,0
1,43,279,62,0,0,0,0,0
1,92,281,65,0,0,0,0,0
1,70,284,67,0,0,0,0,0
1,99,279,68,0,0,0,0,0
1,27,281,66,0,0,0,0,0
1,59,281,77,0,0,0,0,0
1,73,285,73,0,0,0,0,0
1,89,282,71,0,0,0,0,0
1,100,279,71,0,0,0,0,0
1,33,279,73,0,0,0,0,0
2,2,283,54,0,0,0,0,0
2,1,279,96,0,0,0,0,0
2,4,280,69,0,0,0,0,0
2,3,277,64,0,0,0,0,0
2,9,281,61,0,0,0,0,0
2,5,281,52,0,0,0,0,0
2,13,280,58,0,0,0,0,0
2,6,282,55,0,0,0,0,0
2,7,282,48,0,0,0,0,0
2,16,281,49,0,0,0,0,0
2,19,281,56,0,0,0,0,0
2,8,278,55,0,0,0,0,0
2,12,279,50,0,0,0,0,0
2,11,280,55,0,0,0,0,0
2,20,278,65,0,0,0,0,0
2,10,283,53,0,0,0,0,0
2,14,282,122,0,0,0,0,0
2,23,281,76,0,0,0,0,0
2,15,278,49,0,0,0,0,0
2,25,278,51,0,0,0,0,0
2,22,279,61,0,0,0,0,0
2,24,281,58,0,0,0,0,0
2,31,276,57,0,0,0,0,0
2,27,281,64,0,0,0,0,0
2,29,279,52,0,0,0,0,0
