step,tick,wall_time_s,input_tokens,output_tokens,total_errors,connection_errors,openai_errors,timeout_errors,other_errors
0,21601,61.0984,372610,69304,0,0,0,0,0
1,21901,8.0524,28070,5810,0,0,0,0,0
2,22201,8.7747,28070,5908,0,0,0,0,0
3,22501,12.6487,33624,6293,0,0,0,0,0
4,22801,9.3378,28075,5890,0,0,0,0,0
5,23101,8.5156,28075,5717,0,0,0,0,0
6,23401,35.3457,173904,17052,0,0,0,0,0
7,23701,10.9386,29497,6077,0,0,0,0,0
8,24001,9.2726,27976,5995,0,0,0,0,0
9,24301,27.9296,110883,12771,0,0,0,0,0
10,24601,16.8102,37217,6560,0,0,0,0,0
11,24901,13.0908,29283,6194,0,0,0,0,0
12,25201,25.0137,100375,11536,0,0,0,0,0
13,25501,11.9839,35293,6607,0,0,0,0,0
14,25801,10.6416,29508,6380,0,0,0,0,0
15,26101,21.028,69210,9068,0,0,0,0,0
16,26401,24.046,46972,8167,0,0,0,0,0
17,26701,14.8715,32673,6355,0,0,0,0,0
18,27001,32.9711,75092,10496,0,0,0,0,0
19,27301,18.4355,33975,6543,0,0,0,0,0
20,27601,13.8895,40104,7114,0,0,0,0,0
21,27901,19.3934,55974,8459,0,0,0,0,0
22,28201,23.8357,56405,10036,0,0,0,0,0
23,28501,10.0885,29281,6140,0,0,0,0,0
24,28801,20.05,59185,9141,0,0,0,0,0
25,29101,21.0598,46028,9003,0,0,0,0,0
26,29401,9.6718,29273,6268,0,0,0,0,0
27,29701,18.4209,49609,8018,0,0,0,0,0
28,30001,12.4246,43366,7057,0,0,0,0,0
29,30301,19.1559,42469,7926,0,0,0,0,0
30,30601,20.6447,57584,9016,0,0,0,0,0
31,30901,20.4071,59659,9585,0,0,0,0,0
32,31201,22.0186,49692,9184,0,0,0,0,0
33,31501,25.5831,95128,13943,0,0,0,0,0
34,31801,22.9589,67124,10461,0,0,0,0,0
35,32101,11.6296,41183,6979,0,0,0,0,0
36,32401,31.6844,134489,19230,0,0,0,0,0
37,32701,25.4615,70820,10839,0,0,0,0,0
38,33001,23.7245,71029,11242,0,0,0,0,0
39,33301,28.9013,104994,14904,0,0,0,0,0
40,33601,20.8857,57203,9071,0,0,0,0,0
41,33901,15.9865,48205,7268,0,0,0,0,0
42,34201,24.5371,88268,12333,0,0,0,0,0
43,34501,24.7622,77972,11350,0,0,0,0,0
44,34801,18.4679,56477,8315,0,0,0,0,0
45,35101,23.5061,82615,11565,0,0,0,0,0
46,35401,22.9351,71803,10472,0,0,0,0,0
47,35701,23.9934,68325,10357,0,0,0,0,0
48,36001,19.9981,67979,9212,0,0,0,0,0
49,36301,25.1138,74647,10778,0,0,0,0,0
50,36601,23.5212,77215,10586,0,0,0,0,0
51,36901,26.9945,104979,15053,0,0,0,0,0
52,37201,22.092,65370,9172,0,0,0,0,0
53,37501,22.504,69973,10076,0,0,0,0,0
54,37801,29.0109,101152,13593,0,0,0,0,0
55,38101,24.22,72005,10749,0,0,0,0,0
56,38401,25.6709,83038,12169,0,0,0,0,0
57,38701,31.2116,130019,17979,0,0,0,0,0
58,39001,28.9518,100087,14217,0,0,0,0,0
59,39301,27.929,89399,13218,0,0,0,0,0
60,39601,25.5901,89391,12234,0,0,0,0,0
61,39901,24.9301,86951,12469,0,0,0,0,0
62,40201,27.5086,94684,13519,0,0,0,0,0
63,40501,27.208,98195,13835,0,0,0,0,0
64,40801,32.2766,104727,15348,0,0,0,0,0
65,41101,29.5949,101016,14449,0,0,0,0,0
66,41401,30.8485,113381,16545,0,0,0,0,0
67,41701,23.5859,80205,11008,0,0,0,0,0
68,42001,28.0199,92933,13299,0,0,0,0,0
69,42301,25.4986,95093,13366,0,0,0,0,0
