step,agent_id,input_tokens,output_tokens
0,2,4209,597
0,6,4165,811
0,1,4434,736
0,8,4122,751
0,3,4186,690
0,10,4158,806
0,9,4428,779
0,4,4423,588
0,7,4390,805
0,5,4377,757
1,1,1972,147
1,9,1967,133
1,4,1970,136
1,10,1796,144
1,5,2011,146
1,7,2021,158
1,6,314,49
1,3,309,53
1,8,314,58
1,2,4657,599
2,4,1988,203
2,9,1788,150
2,10,2041,151
2,7,311,26
2,1,309,39
2,3,309,45
2,5,313,54
2,8,314,59
2,2,4645,687
2,6,314,65
3,9,1995,173
3,6,1965,149
3,2,1780,143
3,3,309,39
3,4,312,43
3,8,1747,182
3,1,309,50
3,10,311,55
3,5,313,56
3,7,311,59
4,6,1998,177
4,7,311,25
4,4,312,45
4,3,309,51
4,10,311,54
4,9,310,55
4,8,312,57
4,5,313,63
4,2,4803,813
4,1,309,67
5,9,310,46
5,1,309,48
5,6,312,54
5,7,311,55
5,3,309,58
5,5,313,62
5,8,312,62
5,2,4886,797
5,4,312,67
5,10,311,80
6,2,1995,146
6,3,1968,139
6,10,311,35
6,5,313,38
6,9,310,45
6,1,309,46
6,8,312,62
6,4,312,60
6,7,311,69
6,6,312,67
7,3,1968,129
7,7,2009,140
7,10,311,30
7,6,312,43
7,9,310,41
7,4,312,41
7,1,309,45
7,5,313,53
7,2,309,61
7,8,312,112
8,3,1974,132
8,6,312,41
8,4,312,41
8,9,310,50
8,7,313,34
8,8,312,61
8,2,309,64
8,1,309,47
8,5,313,77
8,10,311,63
9,1,309,35
9,3,1703,152
9,5,313,39
9,9,310,45
9,2,309,51
9,6,312,59
9,7,313,63
9,10,311,75
9,4,312,67
9,8,312,72
10,1,1968,160
10,3,310,34
10,2,309,40
10,10,311,44
10,9,310,45
10,7,313,49
10,6,312,57
10,5,313,83
10,4,312,59
10,8,312,96
11,1,1532,158
11,9,310,34
11,4,312,45
11,7,313,47
11,10,311,70
11,5,313,71
11,6,312,69
11,2,309,82
11,8,312,102
11,3,310,45
12,1,1945,149
12,8,2008,173
12,5,313,44
12,6,312,40
12,9,310,59
12,3,310,60
12,2,309,53
12,10,311,60
12,7,313,65
12,4,312,50
13,1,1959,132
13,9,310,32
13,2,309,27
13,3,310,34
13,10,311,57
13,7,313,48
13,4,312,57
13,5,313,59
13,6,312,89
13,8,314,107
14,10,1969,117
14,2,309,47
14,3,310,47
14,9,310,35
14,7,313,43
14,8,314,65
14,4,5005,703
14,5,313,63
14,1,309,54
14,6,312,70
15,4,1704,136
15,10,310,39
15,9,310,42
15,8,314,44
15,3,310,48
15,1,309,48
15,5,313,52
15,7,313,51
15,6,312,57
15,2,309,63
16,5,313,33
16,1,309,31
16,9,310,47
16,10,310,35
16,3,310,38
16,8,314,44
16,6,1712,147
16,7,313,55
16,2,309,60
16,4,311,70
17,10,1970,139
17,1,309,34
17,9,310,38
17,3,310,39
17,4,311,43
17,6,311,50
17,5,313,51
17,7,313,61
17,8,314,70
17,2,309,73
18,2,2000,215
18,8,2020,166
18,7,313,28
18,1,309,33
18,6,311,36
18,4,311,55
18,9,310,56
18,5,313,59
18,10,310,65
18,3,4861,710
19,7,1967,148
19,10,310,31
19,6,311,50
19,1,309,51
19,9,310,59
19,5,313,61
19,2,311,49
19,3,309,68
19,4,311,66
19,8,315,70
20,7,1814,120
20,10,310,33
20,9,310,47
20,8,315,54
20,2,311,51
20,5,313,65
20,4,311,57
20,3,309,65
20,1,309,51
20,6,311,66
21,9,1968,132
21,1,309,38
21,6,311,36
21,8,315,42
21,4,311,55
21,10,310,57
21,2,311,55
21,3,309,50
21,5,313,58
21,7,5112,730
22,9,1972,134
22,6,311,47
22,7,312,43
22,2,311,51
22,10,310,40
22,3,309,59
22,8,1739,230
22,1,5164,757
22,4,311,70
22,5,313,76
23,6,311,32
23,7,312,30
23,10,310,31
23,3,309,40
23,5,313,47
23,4,311,55
23,2,311,54
23,8,310,60
23,1,308,63
23,9,3531,669
24,4,1998,162
24,7,312,34
24,8,310,39
24,10,310,42
24,1,308,53
24,6,311,49
24,2,311,57
24,3,309,64
24,5,313,71
24,9,4087,519
25,6,1782,141
25,5,1940,129
25,10,310,34
25,4,311,49
25,2,311,52
25,1,308,52
25,9,313,57
25,8,310,62
25,3,309,64
25,7,312,81
26,6,1965,142
26,5,2011,158
26,9,313,27
26,4,311,31
26,2,311,41
26,10,310,40
26,3,309,50
26,1,308,52
26,7,312,59
26,8,310,76
27,2,311,32
27,9,313,39
27,5,314,40
27,7,312,57
27,3,309,57
27,1,308,61
27,6,4888,749
27,8,310,65
27,10,310,81
27,4,311,63
28,8,2007,214
28,6,1979,186
28,3,309,32
28,10,310,34
28,1,308,47
28,5,314,41
28,9,313,55
28,4,311,59
28,2,311,60
28,7,312,73
29,2,311,27
29,3,309,35
29,4,311,30
29,7,312,39
29,1,308,42
29,6,310,42
29,9,313,48
29,10,1733,161
29,5,314,57
29,8,313,50
30,9,1991,186
30,5,314,26
30,4,311,28
30,7,312,38
30,2,4539,609
30,3,309,65
30,8,313,57
30,6,310,41
30,10,310,48
30,1,308,69
31,4,311,29
31,2,1531,139
31,6,310,35
31,7,312,37
31,5,314,37
31,10,310,41
31,9,314,41
31,3,309,53
31,8,313,58
31,1,308,67
32,6,310,34
32,4,311,34
32,10,310,43
32,1,308,47
32,7,312,47
32,3,309,49
32,5,314,61
32,8,4940,734
