step,agent_id,input_tokens,output_tokens
0,5,4331,800
0,3,4392,646
0,9,4389,791
0,6,4158,627
0,1,4097,687
0,2,4377,579
0,8,4367,776
0,4,4380,735
0,7,4425,738
0,10,4199,782
1,5,1990,146
1,8,1988,169
1,3,2039,141
1,7,1970,112
1,1,1985,157
1,4,1705,155
1,9,312,44
1,2,310,63
1,6,4836,693
1,10,4997,830
2,7,2005,135
2,3,310,46
2,1,314,50
2,10,318,49
2,6,315,56
2,8,308,47
2,5,310,48
2,4,312,69
2,2,310,70
2,9,312,68
3,4,312,35
3,3,310,38
3,2,310,39
3,7,310,39
3,8,308,43
3,1,314,47
3,6,315,55
3,9,312,58
3,5,310,58
3,10,318,49
4,7,310,31
4,4,312,39
4,5,310,41
4,9,312,42
4,10,318,48
4,6,315,52
4,2,310,56
4,8,308,59
4,3,310,48
4,1,314,63
5,2,310,39
5,3,310,38
5,7,310,31
5,1,314,41
5,8,308,42
5,10,318,45
5,6,315,49
5,9,312,52
5,4,312,59
5,5,310,77
6,9,1970,131
6,2,310,38
6,4,312,43
6,6,315,50
6,7,310,52
6,1,314,52
6,8,308,54
6,3,310,53
6,10,318,59
6,5,310,67
7,9,1948,141
7,7,310,33
7,3,1734,138
7,2,310,43
7,4,312,44
7,8,308,58
7,10,318,59
7,5,310,61
7,6,315,63
7,1,314,68
8,7,1797,149
8,9,1989,173
8,2,310,40
8,10,318,49
8,8,308,50
8,1,314,56
8,5,310,58
8,3,311,60
8,4,312,67
8,6,315,71
9,7,2046,191
9,1,314,53
9,8,308,38
9,4,312,47
9,9,311,48
9,5,310,50
9,3,311,50
9,2,310,65
9,10,318,71
9,6,315,75
10,5,1980,180
10,4,1967,159
10,1,314,40
10,9,311,42
10,3,1726,155
10,10,318,51
10,7,311,37
10,2,310,50
10,6,315,66
10,8,308,65
11,4,1933,124
11,2,310,36
11,7,311,37
11,3,309,41
11,6,315,44
11,5,311,49
11,1,314,55
11,9,311,60
11,10,318,59
11,8,308,61
