step,tick,wall_time_s,input_tokens,output_tokens,total_errors,connection_errors,openai_errors,timeout_errors,other_errors
0,21601,217.8882,431953,69516,0,0,0,0,0
1,21901,34.4759,190073,19297,0,0,0,0,0
2,22201,26.0261,115300,14491,0,0,0,0,0
3,22501,23.9734,72593,9171,0,0,0,0,0
4,22801,23.9215,48813,6752,0,0,0,0,0
5,23101,17.7655,37458,5959,0,0,0,0,0
6,23401,22.6752,51523,7384,0,0,0,0,0
7,23701,25.2053,70305,8652,0,0,0,0,0
8,24001,23.4327,66240,9524,0,0,0,0,0
9,24301,18.5458,45154,6727,0,0,0,0,0
10,24601,16.0502,68204,7623,0,0,0,0,0
11,24901,21.6327,71051,9207,0,0,0,0,0
12,25201,18.2867,60990,7966,0,0,0,0,0
13,25501,21.6572,58128,7649,0,0,0,0,0
14,25801,23.1289,64626,8830,0,0,0,0,0
15,26101,23.2451,67339,8948,0,0,0,0,0
16,26401,24.721,55869,8264,0,0,0,0,0
17,26701,24.6226,50160,6917,0,0,0,0,0
18,27001,22.7446,58354,8665,0,0,0,0,0
19,27301,20.6022,59510,8859,0,0,0,0,0
20,27601,22.8847,50163,6829,0,0,0,0,0
21,27901,25.5574,54919,7715,0,0,0,0,0
22,28201,23.1517,75965,11342,0,0,0,0,0
23,28501,24.1349,62254,8107,0,0,0,0,0
24,28801,23.1328,59413,8190,0,0,0,0,0
25,29101,29.5569,72963,10561,0,0,0,0,0
26,29401,23.834,89860,12094,0,0,0,0,0
27,29701,21.1261,59861,8383,0,0,0,0,0
28,30001,23.0586,67714,9868,0,0,0,0,0
29,30301,19.6105,54226,7801,0,0,0,0,0
30,30601,20.1527,51281,7379,0,0,0,0,0
31,30901,21.9399,60817,8194,0,0,0,0,0
32,31201,23.4561,60532,8749,0,0,0,0,0
33,31501,21.9487,72274,10161,0,0,0,0,0
34,31801,22.8224,63396,8908,0,0,0,0,0
35,32101,18.9432,75556,10231,0,0,0,0,0
36,32401,22.2417,69742,10149,0,0,0,0,0
37,32701,22.1178,70670,9575,0,0,0,0,0
38,33001,28.6562,110217,15678,0,0,0,0,0
39,33301,23.7765,99019,13371,0,0,0,0,0
40,33601,26.0458,103836,13701,0,0,0,0,0
41,33901,27.2863,89096,12484,0,0,0,0,0
42,34201,28.5367,87199,11618,0,0,0,0,0
43,34501,32.4724,106703,14679,0,0,0,0,0
44,34801,28.4998,86105,11805,0,0,0,0,0
45,35101,24.395,94220,12091,0,0,0,0,0
46,35401,22.5479,118059,15748,0,0,0,0,0
47,35701,23.2348,113133,15729,0,0,0,0,0
48,36001,22.239,99428,13441,0,0,0,0,0
49,36301,23.0757,106707,14775,0,0,0,0,0
50,36601,20.6215,89648,12213,0,0,0,0,0
51,36901,23.3614,100902,13669,0,0,0,0,0
52,37201,21.7427,88643,11708,0,0,0,0,0
53,37501,21.4587,86646,11595,0,0,0,0,0
54,37801,200.6103,98720,12564,0,0,0,0,0
55,38101,24.1733,92214,12145,0,0,0,0,0
56,38401,70.3165,96496,12713,0,0,0,0,0
57,38701,83.6078,110943,15180,0,0,0,0,0
58,39001,22.4111,82421,11200,0,0,0,0,0
59,39301,23.2996,116632,14329,0,0,0,0,0
60,39601,21.4489,113618,14867,0,0,0,0,0
61,39901,23.2399,114549,14957,0,0,0,0,0
62,40201,22.5911,99491,13223,0,0,0,0,0
63,40501,27.4016,134140,17023,0,0,0,0,0
