step,tick,wall_time_s,input_tokens,output_tokens
0,21601,17.6422,42892,7320
1,21901,12.8417,17331,1623
2,22201,15.1427,12332,1479
3,22501,5.0546,9352,949
4,22801,16.3077,9288,1407
5,23101,15.988,7685,1329
6,23401,4.7995,6453,707
7,23701,4.3504,6465,695
8,24001,4.7015,4775,610
9,24301,4.1678,4504,658
10,24601,4.7389,4770,667
11,24901,4.2268,4334,723
12,25201,5.1746,6443,753
13,25501,4.1475,4763,642
14,25801,14.6018,9464,1244
15,26101,4.4991,4504,580
16,26401,4.6796,4511,560
17,26701,4.3659,4770,598
18,27001,14.986,11058,1423
19,27301,4.7517,4766,653
20,27601,5.791,4613,609
21,27901,15.9891,9569,1253
22,28201,15.572,11052,1507
23,28501,13.3629,6326,1081
24,28801,11.1861,8569,1090
25,29101,4.0843,6206,721
26,29401,4.4885,6460,676
27,29701,15.3875,7686,1244
28,30001,6.2435,6474,801
29,30301,4.9078,4534,531
30,30601,13.991,9017,1167
31,30901,3.911,4332,537
32,31201,15.0132,12176,1752
33,31501,15.6984,12365,1616
34,31801,2.8183,3117,457
35,32101,21.5913,7940,1050
36,32401,6.489,6226,805
37,32701,4.7759,3123,546
38,33001,3.3455,3123,601
39,33301,7.5952,4607,674
40,33601,18.4831,10417,1271
41,33901,17.4871,7806,1333
42,34201,13.4813,7404,1173
43,34501,2.3598,3133,557
44,34801,5.1665,6298,736
45,35101,15.5116,9512,1273
46,35401,12.3588,7378,1107
47,35701,4.716,4803,627
48,36001,10.0957,8626,1218
49,36301,15.6468,13955,1954
50,36601,12.5267,7170,1160
51,36901,13.7036,10977,1321
52,37201,11.7384,13074,1496
53,37501,16.6376,12297,1928
54,37801,14.115,16509,2027
55,38101,16.7984,14031,1917
56,38401,2.8293,3140,630
57,38701,14.095,8784,1184
58,39001,4.3999,6023,661
59,39301,13.4274,9322,1144
60,39601,4.5911,6031,714
61,39901,13.5188,15419,1816
62,40201,15.5486,10740,1387
63,40501,14.3412,17923,2331
64,40801,12.0637,10491,1262
65,41101,14.7271,19788,2406
66,41401,15.463,15335,2000
67,41701,13.5931,10366,1373
68,42001,12.6909,10422,1301
69,42301,17.2186,16384,2007
70,42601,17.8463,21777,2880
71,42901,13.0299,14161,1850
72,43201,11.4823,12117,1415
73,43501,12.6213,10540,1206
74,43801,14.8136,18146,2310
75,44101,12.9363,18041,2124
76,44401,15.5587,17071,1935
77,44701,13.4068,12595,1629
78,45001,2.5156,3146,441
79,45301,14.6317,10594,1169
80,45601,17.5831,18182,2639
81,45901,13.6522,9093,1119
82,46201,14.0885,12239,1616
83,46501,13.2454,12204,1344
84,46801,13.3807,19590,2389
85,47101,15.8577,12003,1823
86,47401,12.325,13572,1559
87,47701,14.0668,18231,2251
88,48001,15.035,18135,2309
89,48301,15.7295,13591,1861
90,48601,14.081,19534,2324
91,48901,14.7538,16687,2033
92,49201,13.0393,13764,1631
93,49501,13.4637,10298,1253
94,49801,13.4517,15901,1923
95,50101,11.6601,10394,1155
96,50401,15.5062,16892,2209
97,50701,13.2329,8951,1224
98,51001,11.9839,10665,1297
99,51301,11.672,18045,2073
100,51601,14.7414,16378,2055
101,51901,13.0606,14998,1853
102,52201,15.6518,18615,2431
103,52501,11.903,7576,965
104,52801,12.4381,8958,1207
105,53101,10.9004,10281,1141
106,53401,13.8376,10458,1264
107,53701,13.0655,10491,1195
108,54001,13.6005,12194,1416
109,54301,16.0277,12392,1848
110,54601,4.2168,7351,753
111,54901,13.2015,19844,2318
112,55201,15.8689,14858,1998
113,55501,13.8511,18213,2264
114,55801,14.379,13815,1892
115,56101,12.7067,14057,1745
116,56401,13.3055,10673,1252
117,56701,13.8722,13888,1694
118,57001,14.633,13802,1733
119,57301,4.1031,4611,626
